id,codigo,nombre,nombre_g,reg_sanitario,concentracion,desc_concentracion,presentacion,desc_presentacion,f_farmaceutica,nacionalidad,categoria,proveedor_id,users_id,cajon,estado,created_at,updated_at,proveedor,Actions,user,DT_RowAttr/style
10,A-1-7,AMOXICILINA SUSPENSION 125 MG FRASCO 60 ML,AMOXICILINA SUSPENSION 125 MG FRASCO 60 ML,NN-26678/2016,125/60 ml,125/60,frasco x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2022-12-19 20:36:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(10)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""10""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
11,A-1-9,AMOXICILINA  500 MG FRASCO 100 ML SUSPENSION,AMOXICILINA 500 MG FRASCO 100 ML SUSPENSION,NN-19851/2016,500/5 100 mg/ml,500/5 100,frasco x100ML suspension,x100ML,suspension,Bolivia,Fraccionados A menor a 500,1,14,,activo,-0001-11-30 00:00:00,2025-01-29 09:09:01,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(11)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""11""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
12,A-1-12,AMPICILINA 500 MG CAPSULA,AMPICILINA 500 MG CAPSULA,NN- 21805/17,500 mg,500,caja x 500 capsulas,x 500,capsulas,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2023-02-06 19:05:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(12)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""12""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
13,A-1-13,AMPICILINA 1 G (AMPIMIL) COMPRIMIDOS,AMPICILINA 1 G (AMPIMIL) COMPRIMIDOS,NN-21947/2016,1 gr,1,caja x200 comprimido,x200,comprimido,Bolivia,Fraccionados A menor a 500,1,14,,eliminado,-0001-11-30 00:00:00,2025-01-29 09:10:47,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(13)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""13""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
15,A-1-15,AZITROMICINA 500 MG COMPRIMIDOS,AZITROMICINA 500 MG COMPRIMIDOS,NN-41587/2016,500 mg,500,caja x10 comprimido,x10,comprimido,Bolivia,Fraccionados A menor a 500,1,7,0,activo,-0001-11-30 00:00:00,2022-09-08 15:38:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(15)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""15""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",Franklin Blacutt Bustillos,background-color:#343a40;color:white; text-transform:uppercase
16,A-1-16,BICARBONATO DE SODIO 20 G SOBRES,BICARBONATO DE SODIO 20 G SOBRES,NN-18573/2016,20 gr,20,caja x20 sobre,x20,sobre,Bolivia,Fraccionados A menor a 500,1,14,cajon x,activo,-0001-11-30 00:00:00,2025-05-19 12:38:23,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(16)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""16""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
17,A-1-17,BROMHEXINA 8 MG COMPRIMIDOS,BROMHEXINA 8 MG COMPRIMIDOS,NN-21946/2019,8 mg,8,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2022-12-19 20:50:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(17)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""17""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
18,A-1-18,CALCIO 500 MG + VITAMINA D 400 UI COMPRIMIDOS,CALCIO 500 MG + VITAMINA D 400 UI COMPRIMIDOS,NN-20682/17,400 UI,400,caja x30 comprimido,x30,comprimido,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2022-12-19 20:50:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(18)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""18""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
19,A-1-19,CALCIO 500 MG COMPRIMIDOS,CALCIO 500 MG COMPRIMIDOS,NN-37187/2020,500 mg,500,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2022-12-19 20:50:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(19)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""19""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
20,A-1-20,CARBAMAZEPINA 200 MG COMPRIMIDOS,CARBAMAZEPINA 200 MG COMPRIMIDOS,NN-28855/2019,200 mg,200,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,14,,activo,-0001-11-30 00:00:00,2025-01-27 16:54:20,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(20)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""20""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
21,A-1-21,CETIRIZINA 10 MG COMPRIMIDOS,CETIRIZINA 10 MG COMPRIMIDOS,NN-33654/2018,10 mg,10,caja x50 comprimido,x50,comprimido,Bolivia,Fraccionados A menor a 500,1,7,,eliminado,-0001-11-30 00:00:00,2022-09-08 15:38:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(21)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""21""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",Franklin Blacutt Bustillos,background-color:#343a40;color:white; text-transform:uppercase
22,A-1-22,CIPROFLOXACINA 500 MG COMPRIMIDOS,CIPROFLOXACINA 500 MG COMPRIMIDOS,NN-28850/2020,500 mg,500,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,12,,activo,-0001-11-30 00:00:00,2022-11-01 13:16:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(22)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""22""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
790,S/DEG,GUAYDEL JARABE X 1 FCO X 100ML,GUAYDEL JARABE X 1 FCO X 100ML,NN-26677/2017,100 ml,100,caja X 1 jarabe,X 1,jarabe,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,2019-11-28 20:45:00,2022-12-29 13:18:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(790)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""790""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
23,A-1-25,CLORFENIRAMINA JARABE 2 MG FRASCO 100 ML,CLORFENIRAMINA JARABE 2 MG FRASCO 100 ML,NN-25629/2019,2/100 mg/ml,2/100,frasco x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2022-12-19 20:52:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(23)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""23""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
791,S/DEG,SALBUTAMOL 2 MG JARABE X 100 ML,SALBUTAMOL 2 MG JARABE X 100 ML,S/NN-51575/2017,2 mg/ml,2,frasco X 100 ML jarabe,X 100 ML,jarabe,Bolivia,Fraccionados A menor a 500,1,14,,eliminado,2019-11-28 20:47:00,2025-01-29 09:11:58,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(791)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""791""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
24,A-1-28,COMPLEJO B (VIT. B-1+B-6+B-12) COMPRIMIDOS,COMPLEJO B (VIT. B-1+B-6+B-12) COMPRIMIDOS,NN-22657/2022,s/concentracion mg,s/concentracion,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,48,,eliminado,-0001-11-30 00:00:00,2025-07-09 11:45:10,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(24)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""24""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
25,A-1-30,COTRIMOXAZOL SUSPENSION 200/40 MG FCO. 100 ML,COTRIMOXAZOL SUSPENSION 200/40 MG FCO. 100 ML,NN-24742/2021,200/40 / 100 mg/ml,200/40 / 100,frasco x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,14,0,activo,-0001-11-30 00:00:00,2025-08-04 17:29:33,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(25)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""25""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
26,A-1-29,COTRIMOXAZOL 400/80 MG COMPRIMIDOS,COTRIMOXAZOL 400/80 MG COMPRIMIDOS,NN-24741/2021,400/80 mg,400/80,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,35,,activo,-0001-11-30 00:00:00,2024-08-16 10:23:28,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(26)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""26""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",OSMAR MAMANI,background-color:#343a40;color:white; text-transform:uppercase
27,A-2-1,COTRIMOXAZOL FORTE 400/80/5 ML. MG SUSPENSION,COTRIMOXAZOL FORTE 400/80/5 ML. MG SUSPENSION,NN-25947/2021,400/80 ml,400/80,caja x1 suspension,x1,suspension,Bolivia,Fraccionados A menor a 500,1,48,,eliminado,-0001-11-30 00:00:00,2025-07-09 11:45:55,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(27)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""27""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
2075,000,ACICLOVIR 400  MG. COMPRIMIDOS,ACICLOVIR 400  MG. COMPRIMIDOS,NN-51657/2020,400 mg,400,caja X 50 comprimido,X 50,comprimido,Bolivia,Fraccionados A menor a 500,1,14,CAJA X 50,activo,2024-05-09 11:28:48,2025-01-28 16:34:06,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(2075)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""2075""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
28,A-1-31,COTRIMOXAZOL FORTE 800/160 MG COMPRIMIDOS,COTRIMOXAZOL FORTE 800/160 MG COMPRIMIDOS,NN-25946/2020,800/160 mg,800/160,caja x200 comprimido,x200,comprimido,Bolivia,Fraccionados A menor a 500,1,14,,eliminado,-0001-11-30 00:00:00,2025-05-28 17:16:12,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(28)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""28""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
29,A-2-2,DELTA GEL MASTICABLE COMPRIMIDOS,DELTA GEL ( ANTIACIDO MASTICABLE COMPRIMIDOS),NN-39446/2017,s/concentracion mg,s/concentracion,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,14,,eliminado,-0001-11-30 00:00:00,2025-01-29 09:13:51,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(29)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""29""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ALVARO CABERO ALVAREZ,background-color:#343a40;color:white; text-transform:uppercase
30,A-2-4,DEXAMETASONA 0.5 MG COMPRIMIDOS,DEXAMETASONA 0.5 MG COMPRIMIDOS,NN-25514/2021,0.5 mg,0.5,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,12,,activo,-0001-11-30 00:00:00,2022-12-05 12:07:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(30)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""30""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
31,A-2-5,DEXTROFEN 100MLJARABE ,DEXTROFEN 100ML JARABE ,NN-17838/17,100 ml,100,caja x1 jarabe,x1,jarabe,Bolivia,Fraccionados A menor a 500,1,28,,eliminado,-0001-11-30 00:00:00,2023-02-06 19:06:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(31)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""31""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BRIAN CALEB MAMANI,background-color:#343a40;color:white; text-transform:uppercase
32,A-2-6,DEXTROMETORFANO JARABE 10 MG FCO. 100 ML,DEXTROMETORFANO JARABE 10 MG FCO. 100 ML,NN-27999/2014,10/100 mg/ml,10/100,caja x1 frasco,x1,frasco,Bolivia,Fraccionados A menor a 500,1,12,,activo,-0001-11-30 00:00:00,2022-10-11 20:21:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(32)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""32""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",ELIANA ROSARIO QUINTANILLA TABOADA,background-color:#343a40;color:white; text-transform:uppercase
33,A-2-7,DEXTROMETORFANO 15 MG COMPRIMIDOS,DEXTROMETORFANO 15 MG COMPRIMIDOS,NN-18094/2019,15 mg,15,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,7,0,eliminado,-0001-11-30 00:00:00,2022-09-08 22:03:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(33)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""33""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",Franklin Blacutt Bustillos,background-color:#343a40;color:white; text-transform:uppercase
34,A-X-1,DIAZEPAM 10 MG COMPRIMIDOS,DIAZEPAM 10 MG COMPRIMIDOS,NN-33656/2017,10 mg,10,caja x20 comprimido,x20,comprimido,Bolivia,Fraccionados A menor a 500,1,9,,activo,-0001-11-30 00:00:00,2024-07-15 12:22:11,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(34)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""34""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",BERTHA SANCHEZ IPORRE,background-color:#343a40;color:white; text-transform:uppercase
35,A-2-8,DICLOFENACO 100 MG COMPRIMIDOS,DICLOFENACO 100 MG COMPRIMIDOS,NN-26036/2016,100 mg,100,caja x100 comprimido,x100,comprimido,Bolivia,Fraccionados A menor a 500,1,7,0,eliminado,-0001-11-30 00:00:00,2022-09-08 22:03:00,DELTA,"<a href=""javascript:void(0)"" data-bs-toggle=""modal"" onclick=""editarProducto(35)"" class="" btn btn-primary btn-sm"" title=""Editar""><i class=""fas fa-pen text-white""></i></a>&nbsp;&nbsp;<button type=""button"" name=""delete"" id=""35""  class=""delete btn btn-danger btn-sm""><i class=""fas fa-trash""></i></button>",Franklin Blacutt Bustillos,background-color:#343a40;color:white; text-transform:uppercase
